client_id,cutoff_date,target_next_recurring_merchant,confidence
C000004,2026-01-01,insurance,0.5469
C000008,2026-01-01,streaming,0.4684
C000010,2026-01-01,mobile,0.7407
C000011,2026-01-01,none,0.7122
C000018,2026-01-01,none,0.5929
C000019,2026-01-01,none,0.6012
C000020,2026-01-01,none,0.7522
C000023,2026-01-01,cloud,0.4393
C000031,2026-01-01,gym,0.4427
C000034,2026-01-01,none,0.7122
C000037,2026-01-01,none,0.6922
C000045,2026-01-01,none,0.4074
C000050,2026-01-01,none,0.5998
C000051,2026-01-01,software,0.6691
C000052,2026-01-01,gym,0.6445
C000054,2026-01-01,streaming,0.6314
C000056,2026-01-01,none,0.6122
C000067,2026-01-01,music,0.6815
C000074,2026-01-01,music,0.3906
C000076,2026-01-01,gym,0.6565
C000082,2026-01-01,none,0.7322
C000083,2026-01-01,none,0.6922
C000091,2026-01-01,software,0.5092
C000097,2026-01-01,mobile,0.7465
C000098,2026-01-01,mobile,0.7512
C000099,2026-01-01,music,0.6605
C000114,2026-01-01,none,0.7522
C000118,2026-01-01,software,0.6787
C000121,2026-01-01,gym,0.6573
C000124,2026-01-01,mobile,0.4435
C000133,2026-01-01,streaming,0.6244
C000139,2026-01-01,insurance,0.5268
C000141,2026-01-01,none,0.6922
C000146,2026-01-01,music,0.4175
C000158,2026-01-01,gym,0.6022
C000161,2026-01-01,insurance,0.4628
C000163,2026-01-01,none,0.3576
C000165,2026-01-01,gym,0.6537
C000166,2026-01-01,cloud,0.7373
C000167,2026-01-01,mobile,0.4483
C000178,2026-01-01,software,0.2718
C000182,2026-01-01,gym,0.6776
C000188,2026-01-01,mobile,0.4649
C000194,2026-01-01,none,0.4609
C000195,2026-01-01,mobile,0.7276
C000208,2026-01-01,none,0.7322
C000211,2026-01-01,insurance,0.5471
C000213,2026-01-01,streaming,0.6481
C000217,2026-01-01,gym,0.6597
C000221,2026-01-01,mobile,0.7468
C000225,2026-01-01,none,0.5791
C000231,2026-01-01,software,0.6964
C000243,2026-01-01,software,0.6879
C000244,2026-01-01,streaming,0.4671
C000247,2026-01-01,music,0.3934
C000251,2026-01-01,gym,0.6665
C000255,2026-01-01,none,0.3874
C000267,2026-01-01,streaming,0.5034
C000268,2026-01-01,music,0.4212
C000273,2026-01-01,none,0.7122
C000277,2026-01-01,none,0.6922
C000278,2026-01-01,software,0.4007
C000279,2026-01-01,cloud,0.4615
C000282,2026-01-01,gym,0.6363
C000287,2026-01-01,none,0.7522
C000288,2026-01-01,insurance,0.4436
C000291,2026-01-01,insurance,0.5423
C000293,2026-01-01,streaming,0.4789
C000300,2026-01-01,none,0.7122
C000304,2026-01-01,gym,0.4224
C000307,2026-01-01,none,0.5803
C000308,2026-01-01,cloud,0.7642
C000309,2026-01-01,gym,0.6639
C000314,2026-01-01,insurance,0.5502
C000315,2026-01-01,none,0.6722
C000317,2026-01-01,insurance,0.5203
C000321,2026-01-01,insurance,0.4677
C000327,2026-01-01,software,0.3543
C000334,2026-01-01,gym,0.6712
C000344,2026-01-01,gym,0.6819
C000345,2026-01-01,mobile,0.4514
C000347,2026-01-01,mobile,0.7535
C000349,2026-01-01,none,0.5757
C000354,2026-01-01,insurance,0.5332
C000355,2026-01-01,insurance,0.4254
C000360,2026-01-01,none,0.3576
C000373,2026-01-01,insurance,0.5473
C000378,2026-01-01,streaming,0.4511
C000379,2026-01-01,none,0.6322
C000385,2026-01-01,mobile,0.7289
C000391,2026-01-01,streaming,0.5619
C000399,2026-01-01,streaming,0.6359
C000404,2026-01-01,streaming,0.5518
C000413,2026-01-01,software,0.3822
C000415,2026-01-01,none,0.3474
C000421,2026-01-01,none,0.6922
C000429,2026-01-01,software,0.404
C000430,2026-01-01,none,0.5773
C000435,2026-01-01,none,0.569
C000441,2026-01-01,software,0.6956
C000442,2026-01-01,mobile,0.4356
C000444,2026-01-01,cloud,0.5432
C000449,2026-01-01,none,0.7122
C000459,2026-01-01,music,0.5624
C000460,2026-01-01,none,0.563
C000467,2026-01-01,software,0.3628
C000478,2026-01-01,insurance,0.4826
C000480,2026-01-01,cloud,0.4669
C000488,2026-01-01,streaming,0.5747
C000489,2026-01-01,none,0.6018
C000490,2026-01-01,none,0.6722
C000494,2026-01-01,insurance,0.5511
C000495,2026-01-01,insurance,0.5511
C000496,2026-01-01,software,0.3454
C000500,2026-01-01,none,0.5651
C000501,2026-01-01,none,0.2874
C000507,2026-01-01,streaming,0.5796
C000519,2026-01-01,gym,0.5395
C000522,2026-01-01,software,0.364
C000524,2026-01-01,none,0.5744
C000525,2026-01-01,none,0.6722
C000527,2026-01-01,none,0.6522
C000528,2026-01-01,none,0.7122
C000537,2026-01-01,none,0.578
C000538,2026-01-01,gym,0.4962
C000546,2026-01-01,software,0.3709
C000560,2026-01-01,none,0.6922
C000570,2026-01-01,software,0.3789
C000574,2026-01-01,mobile,0.7544
C000575,2026-01-01,gym,0.4333
C000576,2026-01-01,music,0.3869
C000578,2026-01-01,gym,0.606
C000581,2026-01-01,none,0.3674
C000584,2026-01-01,insurance,0.5502
C000585,2026-01-01,software,0.5183
C000589,2026-01-01,none,0.586
C000590,2026-01-01,music,0.5087
C000591,2026-01-01,none,0.3074
C000598,2026-01-01,mobile,0.482
C000603,2026-01-01,streaming,0.418
C000608,2026-01-01,software,0.7005
C000610,2026-01-01,none,0.6057
C000611,2026-01-01,gym,0.4202
C000613,2026-01-01,gym,0.4922
C000614,2026-01-01,software,0.3564
C000623,2026-01-01,mobile,0.7526
C000625,2026-01-01,gym,0.4117
C000632,2026-01-01,none,0.3776
C000634,2026-01-01,none,0.4409
C000642,2026-01-01,music,0.4092
C000646,2026-01-01,none,0.7322
C000656,2026-01-01,streaming,0.6498
C000658,2026-01-01,gym,0.4987
C000659,2026-01-01,insurance,0.5677
C000661,2026-01-01,software,0.7064
C000662,2026-01-01,software,0.6667
C000663,2026-01-01,mobile,0.7317
C000671,2026-01-01,none,0.3576
C000676,2026-01-01,mobile,0.7368
C000685,2026-01-01,music,0.2753
C000686,2026-01-01,none,0.7322
C000689,2026-01-01,software,0.3803
C000690,2026-01-01,insurance,0.5598
C000692,2026-01-01,insurance,0.4501
C000693,2026-01-01,none,0.5799
C000695,2026-01-01,none,0.6722
C000697,2026-01-01,gym,0.3964
C000698,2026-01-01,none,0.6922
C000703,2026-01-01,cloud,0.4871
C000714,2026-01-01,cloud,0.4118
C000722,2026-01-01,software,0.3533
C000723,2026-01-01,insurance,0.6107
C000726,2026-01-01,gym,0.5116
C000727,2026-01-01,none,0.4209
C000730,2026-01-01,gym,0.6752
C000731,2026-01-01,mobile,0.7291
C000733,2026-01-01,gym,0.5165
C000736,2026-01-01,mobile,0.4931
