client_id,cutoff_date,target_next_recurring_merchant,confidence
U000000,2026-01-01,software,0.5641
U000001,2026-01-01,insurance,0.8356
U000002,2026-01-01,mobile,0.8035
U000003,2026-01-01,gym,0.7047
U000004,2026-01-01,none,0.665
U000005,2026-01-01,none,0.7491
U000006,2026-01-01,music,0.4827
U000007,2026-01-01,none,0.8929
U000008,2026-01-01,cloud,0.6449
U000009,2026-01-01,cloud,0.5043
U000010,2026-01-01,music,0.462
U000011,2026-01-01,insurance,0.6891
U000012,2026-01-01,none,0.6207
U000013,2026-01-01,cloud,0.4109
U000014,2026-01-01,software,0.5907
U000015,2026-01-01,cloud,0.5905
U000016,2026-01-01,gym,0.7948
U000017,2026-01-01,none,0.6724
U000018,2026-01-01,insurance,0.4009
U000019,2026-01-01,music,0.6296
U000020,2026-01-01,none,0.9948
U000021,2026-01-01,none,0.6265
U000022,2026-01-01,music,0.3885
U000023,2026-01-01,none,0.9948
U000024,2026-01-01,streaming,0.2757
U000025,2026-01-01,cloud,0.5905
U000026,2026-01-01,insurance,0.5963
U000027,2026-01-01,mobile,0.3487
U000028,2026-01-01,streaming,0.306
U000029,2026-01-01,music,0.9192
U000030,2026-01-01,insurance,0.2771
U000031,2026-01-01,mobile,0.825
U000032,2026-01-01,insurance,0.5108
U000033,2026-01-01,insurance,0.4543
U000034,2026-01-01,mobile,0.835
U000035,2026-01-01,music,0.4632
U000036,2026-01-01,cloud,0.5842
U000037,2026-01-01,music,0.6379
U000038,2026-01-01,software,0.366
U000039,2026-01-01,streaming,0.8913
U000040,2026-01-01,software,0.499
U000041,2026-01-01,none,0.9548
U000042,2026-01-01,none,0.3659
U000043,2026-01-01,cloud,0.4473
U000044,2026-01-01,gym,0.4906
U000045,2026-01-01,gym,0.6218
U000046,2026-01-01,insurance,0.5445
U000047,2026-01-01,insurance,0.5297
U000048,2026-01-01,cloud,0.4324
U000049,2026-01-01,none,0.3922
U000050,2026-01-01,insurance,0.6255
U000051,2026-01-01,mobile,0.7105
U000052,2026-01-01,music,0.4766
U000053,2026-01-01,insurance,0.4468
U000054,2026-01-01,none,0.9945
U000055,2026-01-01,none,0.7745
U000056,2026-01-01,none,0.3936
U000057,2026-01-01,none,0.9808
U000058,2026-01-01,none,0.9978
U000059,2026-01-01,insurance,0.6314
U000060,2026-01-01,mobile,0.3131
U000061,2026-01-01,streaming,0.3702
U000062,2026-01-01,none,0.9891
U000063,2026-01-01,streaming,0.6149
U000064,2026-01-01,insurance,0.5164
U000065,2026-01-01,mobile,0.9059
U000066,2026-01-01,gym,0.5055
U000067,2026-01-01,cloud,0.3522
U000068,2026-01-01,software,0.8209
U000069,2026-01-01,software,0.7323
U000070,2026-01-01,none,0.9329
U000071,2026-01-01,cloud,0.8186
U000072,2026-01-01,music,0.8128
U000073,2026-01-01,none,0.7803
U000074,2026-01-01,streaming,0.7951
U000075,2026-01-01,software,0.7116
U000076,2026-01-01,mobile,0.7274
U000077,2026-01-01,software,0.4868
U000078,2026-01-01,none,0.5811
U000079,2026-01-01,insurance,0.7049
U000080,2026-01-01,insurance,0.4515
U000081,2026-01-01,insurance,0.4319
U000082,2026-01-01,none,0.9965
U000083,2026-01-01,none,0.7287
U000084,2026-01-01,software,0.436
U000085,2026-01-01,cloud,0.6466
U000086,2026-01-01,cloud,0.4719
U000087,2026-01-01,cloud,0.7081
U000088,2026-01-01,mobile,0.4813
U000089,2026-01-01,software,0.5176
U000090,2026-01-01,music,0.8994
U000091,2026-01-01,music,0.5413
U000092,2026-01-01,streaming,0.8658
U000093,2026-01-01,gym,0.2992
U000094,2026-01-01,cloud,0.5375
U000095,2026-01-01,software,0.5553
U000096,2026-01-01,cloud,0.8323
U000097,2026-01-01,mobile,0.7415
U000098,2026-01-01,mobile,0.6266
U000099,2026-01-01,none,0.7555
U000100,2026-01-01,cloud,0.4621
U000101,2026-01-01,software,0.5858
U000102,2026-01-01,none,0.9926
U000103,2026-01-01,mobile,0.3576
U000104,2026-01-01,insurance,0.7998
U000105,2026-01-01,insurance,0.7301
U000106,2026-01-01,none,0.7915
U000107,2026-01-01,mobile,0.635
U000108,2026-01-01,none,0.814
U000109,2026-01-01,gym,0.7912
U000110,2026-01-01,none,0.999
U000111,2026-01-01,streaming,0.4859
U000112,2026-01-01,streaming,0.5131
U000113,2026-01-01,mobile,0.8142
U000114,2026-01-01,cloud,0.6414
U000115,2026-01-01,gym,0.841
U000116,2026-01-01,none,0.9436
U000117,2026-01-01,none,0.8963
U000118,2026-01-01,software,0.6768
U000119,2026-01-01,none,0.9018
U000120,2026-01-01,mobile,0.6911
U000121,2026-01-01,software,0.4527
U000122,2026-01-01,gym,0.5701
U000123,2026-01-01,none,0.9344
U000124,2026-01-01,gym,0.6989
U000125,2026-01-01,mobile,0.5114
U000126,2026-01-01,mobile,0.7183
U000127,2026-01-01,software,0.492
U000128,2026-01-01,mobile,0.7503
U000129,2026-01-01,music,0.5402
U000130,2026-01-01,gym,0.5025
U000131,2026-01-01,none,0.9763
U000132,2026-01-01,gym,0.5452
U000133,2026-01-01,none,0.906
U000134,2026-01-01,none,0.9098
U000135,2026-01-01,gym,0.4374
U000136,2026-01-01,music,0.8579
U000137,2026-01-01,software,0.6841
U000138,2026-01-01,insurance,0.6998
U000139,2026-01-01,streaming,0.5231
U000140,2026-01-01,cloud,0.6166
U000141,2026-01-01,software,0.4248
U000142,2026-01-01,none,0.4536
U000143,2026-01-01,streaming,0.7923
U000144,2026-01-01,software,0.5563
U000145,2026-01-01,none,0.3528
U000146,2026-01-01,cloud,0.4531
U000147,2026-01-01,streaming,0.6613
U000148,2026-01-01,mobile,0.4514
U000149,2026-01-01,none,0.8222
U000150,2026-01-01,cloud,0.8243
U000151,2026-01-01,insurance,0.4917
U000152,2026-01-01,mobile,0.8556
U000153,2026-01-01,none,0.3466
U000154,2026-01-01,music,0.4831
U000155,2026-01-01,none,0.7683
U000156,2026-01-01,none,0.2549
U000157,2026-01-01,software,0.4337
U000158,2026-01-01,software,0.8966
U000159,2026-01-01,software,0.5961
U000160,2026-01-01,none,0.5263
U000161,2026-01-01,streaming,0.2795
U000162,2026-01-01,streaming,0.6248
U000163,2026-01-01,none,0.8493
U000164,2026-01-01,software,0.5477
U000165,2026-01-01,cloud,0.4446
U000166,2026-01-01,mobile,0.8841
U000167,2026-01-01,gym,0.6225
U000168,2026-01-01,insurance,0.5048
U000169,2026-01-01,none,0.3155
U000170,2026-01-01,streaming,0.6972
U000171,2026-01-01,none,0.7133
U000172,2026-01-01,none,0.9941
U000173,2026-01-01,software,0.3562
U000174,2026-01-01,none,0.9635
U000175,2026-01-01,cloud,0.5628
U000176,2026-01-01,insurance,0.7863
U000177,2026-01-01,none,0.9874
U000178,2026-01-01,software,0.5011
U000179,2026-01-01,none,0.5954
