client_id,cutoff_date,target_next_recurring_merchant,confidence
U000000,2026-01-01,music,0.4014
U000001,2026-01-01,none,0.7619
U000002,2026-01-01,mobile,1.0
U000003,2026-01-01,gym,0.5088
U000004,2026-01-01,none,0.5336
U000005,2026-01-01,none,0.4266
U000006,2026-01-01,music,0.4076
U000007,2026-01-01,insurance,0.6684
U000008,2026-01-01,cloud,0.5489
U000009,2026-01-01,none,0.384
U000010,2026-01-01,music,0.3274
U000011,2026-01-01,insurance,0.8998
U000012,2026-01-01,music,0.3939
U000013,2026-01-01,none,0.4371
U000014,2026-01-01,none,0.4252
U000015,2026-01-01,cloud,0.3082
U000016,2026-01-01,gym,0.9908
U000017,2026-01-01,mobile,0.3008
U000018,2026-01-01,insurance,0.5
U000019,2026-01-01,music,0.3752
U000020,2026-01-01,mobile,0.6007
U000021,2026-01-01,none,0.3555
U000022,2026-01-01,mobile,0.3327
U000023,2026-01-01,streaming,0.3728
U000024,2026-01-01,music,0.2423
U000025,2026-01-01,cloud,0.278
U000026,2026-01-01,cloud,0.3454
U000027,2026-01-01,mobile,1.0
U000028,2026-01-01,streaming,0.3396
U000029,2026-01-01,mobile,0.4018
U000030,2026-01-01,mobile,0.33
U000031,2026-01-01,mobile,0.4447
U000032,2026-01-01,none,0.4398
U000033,2026-01-01,insurance,0.5282
U000034,2026-01-01,none,0.5317
U000035,2026-01-01,none,0.3511
U000036,2026-01-01,cloud,0.3662
U000037,2026-01-01,music,0.3858
U000038,2026-01-01,none,0.4869
U000039,2026-01-01,streaming,0.5648
U000040,2026-01-01,music,0.4787
U000041,2026-01-01,insurance,1.0
U000042,2026-01-01,none,0.3447
U000043,2026-01-01,mobile,0.253
U000044,2026-01-01,streaming,0.6253
U000045,2026-01-01,none,0.4993
U000046,2026-01-01,insurance,0.4415
U000047,2026-01-01,mobile,1.0
U000048,2026-01-01,music,0.324
U000049,2026-01-01,none,0.4282
U000050,2026-01-01,insurance,0.4456
U000051,2026-01-01,mobile,0.4345
U000052,2026-01-01,gym,0.2814
U000053,2026-01-01,insurance,0.3532
U000054,2026-01-01,none,0.5916
U000055,2026-01-01,cloud,0.4863
U000056,2026-01-01,mobile,0.5285
U000057,2026-01-01,none,0.3772
U000058,2026-01-01,none,0.4512
U000059,2026-01-01,streaming,0.5835
U000060,2026-01-01,music,0.2517
U000061,2026-01-01,streaming,0.3895
U000062,2026-01-01,none,0.7576
U000063,2026-01-01,insurance,0.3807
U000064,2026-01-01,mobile,0.5072
U000065,2026-01-01,mobile,1.0
U000066,2026-01-01,none,0.6072
U000067,2026-01-01,streaming,0.3402
U000068,2026-01-01,none,0.5951
U000069,2026-01-01,software,0.4387
U000070,2026-01-01,software,0.4658
U000071,2026-01-01,cloud,0.6788
U000072,2026-01-01,music,0.6623
U000073,2026-01-01,none,0.374
U000074,2026-01-01,streaming,0.5168
U000075,2026-01-01,software,0.4602
U000076,2026-01-01,mobile,0.4905
U000077,2026-01-01,software,0.3939
U000078,2026-01-01,streaming,0.75
U000079,2026-01-01,insurance,0.5695
U000080,2026-01-01,insurance,0.4187
U000081,2026-01-01,streaming,0.3929
U000082,2026-01-01,software,0.6186
U000083,2026-01-01,gym,0.5258
U000084,2026-01-01,none,0.4799
U000085,2026-01-01,cloud,0.5
U000086,2026-01-01,none,0.2708
U000087,2026-01-01,cloud,0.405
U000088,2026-01-01,none,0.5644
U000089,2026-01-01,none,0.2468
U000090,2026-01-01,music,0.7787
U000091,2026-01-01,mobile,0.3704
U000092,2026-01-01,streaming,1.0
U000093,2026-01-01,streaming,0.3113
U000094,2026-01-01,music,0.4034
U000095,2026-01-01,none,1.0
U000096,2026-01-01,insurance,0.5803
U000097,2026-01-01,mobile,0.6976
U000098,2026-01-01,none,0.5401
U000099,2026-01-01,cloud,0.5396
U000100,2026-01-01,none,0.317
U000101,2026-01-01,none,0.4531
U000102,2026-01-01,none,0.7576
U000103,2026-01-01,mobile,0.446
U000104,2026-01-01,insurance,0.6886
U000105,2026-01-01,music,0.3594
U000106,2026-01-01,none,1.0
U000107,2026-01-01,mobile,0.5946
U000108,2026-01-01,mobile,0.3937
U000109,2026-01-01,gym,0.711
U000110,2026-01-01,insurance,0.4129
U000111,2026-01-01,insurance,0.3802
U000112,2026-01-01,streaming,0.2888
U000113,2026-01-01,mobile,0.6976
U000114,2026-01-01,software,0.4515
U000115,2026-01-01,gym,1.0
U000116,2026-01-01,none,0.488
U000117,2026-01-01,none,0.3749
U000118,2026-01-01,mobile,0.4461
U000119,2026-01-01,cloud,0.4968
U000120,2026-01-01,streaming,0.2934
U000121,2026-01-01,none,0.4439
U000122,2026-01-01,none,0.4026
U000123,2026-01-01,insurance,0.3828
U000124,2026-01-01,gym,0.9164
U000125,2026-01-01,streaming,0.3102
U000126,2026-01-01,streaming,0.3396
U000127,2026-01-01,insurance,0.5935
U000128,2026-01-01,none,0.6498
U000129,2026-01-01,music,0.2902
U000130,2026-01-01,none,0.4447
U000131,2026-01-01,none,0.7576
U000132,2026-01-01,insurance,0.4275
U000133,2026-01-01,software,0.2887
U000134,2026-01-01,cloud,0.5
U000135,2026-01-01,gym,0.5343
U000136,2026-01-01,music,0.5029
U000137,2026-01-01,gym,0.3988
U000138,2026-01-01,insurance,0.5843
U000139,2026-01-01,streaming,0.6626
U000140,2026-01-01,cloud,0.5
U000141,2026-01-01,software,0.4305
U000142,2026-01-01,none,0.3016
U000143,2026-01-01,streaming,0.6142
U000144,2026-01-01,none,0.5057
U000145,2026-01-01,music,0.4234
U000146,2026-01-01,cloud,0.8686
U000147,2026-01-01,mobile,0.5449
U000148,2026-01-01,none,0.283
U000149,2026-01-01,none,0.2786
U000150,2026-01-01,cloud,0.4183
U000151,2026-01-01,insurance,0.5613
U000152,2026-01-01,mobile,0.7537
U000153,2026-01-01,software,0.4637
U000154,2026-01-01,gym,0.314
U000155,2026-01-01,music,0.2891
U000156,2026-01-01,none,0.2224
U000157,2026-01-01,gym,0.4136
U000158,2026-01-01,none,0.623
U000159,2026-01-01,streaming,0.5196
U000160,2026-01-01,none,0.2964
U000161,2026-01-01,none,0.3226
U000162,2026-01-01,streaming,0.4154
U000163,2026-01-01,none,0.7576
U000164,2026-01-01,software,0.3909
U000165,2026-01-01,none,0.4406
U000166,2026-01-01,mobile,1.0
U000167,2026-01-01,insurance,0.2939
U000168,2026-01-01,mobile,0.5569
U000169,2026-01-01,none,0.6127
U000170,2026-01-01,none,0.5
U000171,2026-01-01,gym,0.3333
U000172,2026-01-01,none,0.4254
U000173,2026-01-01,mobile,0.3375
U000174,2026-01-01,cloud,0.4158
U000175,2026-01-01,music,0.3732
U000176,2026-01-01,none,0.3209
U000177,2026-01-01,music,0.3752
U000178,2026-01-01,music,0.3523
U000179,2026-01-01,none,0.3846
U000180,2026-01-01,cloud,0.8374
U000181,2026-01-01,gym,0.4075
U000182,2026-01-01,none,0.4214
U000183,2026-01-01,software,0.4408
U000184,2026-01-01,streaming,0.5873
U000185,2026-01-01,cloud,0.385
U000186,2026-01-01,music,0.2716
U000187,2026-01-01,cloud,0.4018
U000188,2026-01-01,insurance,0.2693
U000189,2026-01-01,insurance,0.3444
U000190,2026-01-01,none,0.3977
U000191,2026-01-01,software,0.3361
U000192,2026-01-01,insurance,0.3741
U000193,2026-01-01,none,0.3754
U000194,2026-01-01,software,0.5427
U000195,2026-01-01,insurance,0.4033
U000196,2026-01-01,insurance,0.3978
U000197,2026-01-01,music,0.3373
U000198,2026-01-01,none,0.8333
U000199,2026-01-01,none,0.4862
U000200,2026-01-01,music,0.4528
U000201,2026-01-01,none,0.3528
U000202,2026-01-01,gym,0.2637
U000203,2026-01-01,insurance,0.2838
U000204,2026-01-01,music,0.4783
U000205,2026-01-01,insurance,0.324
U000206,2026-01-01,software,0.4672
U000207,2026-01-01,insurance,0.4197
U000208,2026-01-01,none,0.7576
U000209,2026-01-01,none,0.537
U000210,2026-01-01,streaming,0.637
U000211,2026-01-01,insurance,0.5
U000212,2026-01-01,mobile,0.3557
U000213,2026-01-01,none,0.719
U000214,2026-01-01,none,0.7576
U000215,2026-01-01,none,0.2924
U000216,2026-01-01,none,0.5297
U000217,2026-01-01,none,0.3631
U000218,2026-01-01,music,0.5892
U000219,2026-01-01,cloud,0.36
U000220,2026-01-01,mobile,0.403
U000221,2026-01-01,none,0.2039
U000222,2026-01-01,insurance,0.354
U000223,2026-01-01,gym,0.3814
U000224,2026-01-01,none,0.274
U000225,2026-01-01,none,0.5936
U000226,2026-01-01,gym,1.0
U000227,2026-01-01,insurance,0.3909
U000228,2026-01-01,streaming,0.4823
U000229,2026-01-01,music,0.2948
U000230,2026-01-01,software,0.3359
U000231,2026-01-01,none,0.4306
U000232,2026-01-01,insurance,0.8003
U000233,2026-01-01,none,0.3098
U000234,2026-01-01,insurance,0.5834
U000235,2026-01-01,none,0.4152
U000236,2026-01-01,insurance,0.6025
U000237,2026-01-01,music,0.4828
U000238,2026-01-01,gym,0.441
U000239,2026-01-01,none,0.4645
U000240,2026-01-01,insurance,0.3821
U000241,2026-01-01,insurance,0.4667
U000242,2026-01-01,mobile,0.3343
U000243,2026-01-01,music,0.3545
U000244,2026-01-01,cloud,0.5
U000245,2026-01-01,cloud,0.6662
U000246,2026-01-01,none,0.4385
U000247,2026-01-01,cloud,1.0
U000248,2026-01-01,streaming,0.4393
U000249,2026-01-01,music,0.7616
U000250,2026-01-01,streaming,0.7207
U000251,2026-01-01,gym,0.4691
U000252,2026-01-01,gym,0.4675
U000253,2026-01-01,streaming,0.3829
U000254,2026-01-01,none,0.7576
U000255,2026-01-01,none,0.464
U000256,2026-01-01,music,0.515
U000257,2026-01-01,none,0.7576
U000258,2026-01-01,none,0.3848
U000259,2026-01-01,none,0.2932
U000260,2026-01-01,insurance,0.5843
U000261,2026-01-01,none,0.458
U000262,2026-01-01,streaming,0.7512
U000263,2026-01-01,none,0.3541
U000264,2026-01-01,mobile,0.4924
U000265,2026-01-01,music,0.427
U000266,2026-01-01,streaming,0.5447
U000267,2026-01-01,mobile,0.5659
U000268,2026-01-01,none,0.2607
U000269,2026-01-01,none,0.7576
U000270,2026-01-01,streaming,0.371
U000271,2026-01-01,insurance,0.3745
U000272,2026-01-01,cloud,0.3651
U000273,2026-01-01,gym,0.3512
U000274,2026-01-01,none,0.3268
U000275,2026-01-01,insurance,0.4605
U000276,2026-01-01,none,0.7576
U000277,2026-01-01,software,0.3019
U000278,2026-01-01,none,0.4167
U000279,2026-01-01,insurance,0.3837
U000280,2026-01-01,cloud,0.5265
U000281,2026-01-01,cloud,0.5531
U000282,2026-01-01,insurance,0.3788
U000283,2026-01-01,music,0.2836
U000284,2026-01-01,cloud,0.4371
U000285,2026-01-01,none,0.3212
U000286,2026-01-01,cloud,0.7331
U000287,2026-01-01,software,0.5999
U000288,2026-01-01,streaming,0.3361
U000289,2026-01-01,gym,0.7493
U000290,2026-01-01,none,0.5857
U000291,2026-01-01,streaming,0.363
U000292,2026-01-01,streaming,0.4599
U000293,2026-01-01,mobile,0.4776
U000294,2026-01-01,insurance,0.5277
U000295,2026-01-01,none,0.5402
U000296,2026-01-01,streaming,0.5418
U000297,2026-01-01,none,1.0
U000298,2026-01-01,cloud,0.5527
U000299,2026-01-01,software,0.5063
U000300,2026-01-01,none,0.3416
U000301,2026-01-01,insurance,0.3224
U000302,2026-01-01,streaming,0.4257
U000303,2026-01-01,music,0.3518
U000304,2026-01-01,insurance,0.327
U000305,2026-01-01,none,0.4064
U000306,2026-01-01,none,0.8
U000307,2026-01-01,cloud,0.4023
U000308,2026-01-01,music,0.6147
U000309,2026-01-01,gym,0.7393
U000310,2026-01-01,streaming,0.2954
U000311,2026-01-01,none,0.7576
U000312,2026-01-01,mobile,0.3983
U000313,2026-01-01,insurance,0.4023
U000314,2026-01-01,mobile,0.7537
U000315,2026-01-01,cloud,0.4319
U000316,2026-01-01,software,0.4567
U000317,2026-01-01,music,0.2636
U000318,2026-01-01,none,0.3154
U000319,2026-01-01,none,1.0
U000320,2026-01-01,none,0.3241
U000321,2026-01-01,none,0.5657
U000322,2026-01-01,none,0.3496
U000323,2026-01-01,none,0.5256
U000324,2026-01-01,streaming,0.3539
U000325,2026-01-01,cloud,0.6475
U000326,2026-01-01,cloud,0.5352
U000327,2026-01-01,mobile,0.2198
U000328,2026-01-01,cloud,0.4904
U000329,2026-01-01,music,0.6017
U000330,2026-01-01,none,0.368
U000331,2026-01-01,none,0.4689
U000332,2026-01-01,music,0.4851
U000333,2026-01-01,none,0.3072
U000334,2026-01-01,none,0.3401
