client_id,cutoff_date,target_next_recurring_merchant,llm_confidence
U000000,2026-01-01,software,0.66
U000001,2026-01-01,insurance,0.76
U000002,2026-01-01,mobile,0.78
U000003,2026-01-01,gym,0.55
U000004,2026-01-01,software,0.76
U000005,2026-01-01,none,0.53
U000006,2026-01-01,cloud,0.58
U000007,2026-01-01,insurance,0.47000000000000003
U000008,2026-01-01,cloud,0.8200000000000001
U000009,2026-01-01,software,0.81
U000010,2026-01-01,music,0.75
U000011,2026-01-01,insurance,0.86
U000012,2026-01-01,music,0.78
U000013,2026-01-01,cloud,0.56
U000014,2026-01-01,software,0.72
U000015,2026-01-01,cloud,0.72
U000016,2026-01-01,gym,0.72
U000017,2026-01-01,streaming,0.53
U000018,2026-01-01,insurance,0.87
U000019,2026-01-01,music,0.68
U000020,2026-01-01,none,0.62
U000021,2026-01-01,none,0.68
U000022,2026-01-01,music,0.78
U000023,2026-01-01,none,0.55
U000024,2026-01-01,gym,0.48
U000025,2026-01-01,cloud,0.62
U000026,2026-01-01,insurance,0.52
U000027,2026-01-01,none,0.67
U000028,2026-01-01,software,0.62
U000029,2026-01-01,mobile,0.74
U000030,2026-01-01,gym,0.56
U000031,2026-01-01,mobile,0.78
U000032,2026-01-01,insurance,0.76
U000033,2026-01-01,insurance,0.56
U000034,2026-01-01,mobile,0.68
U000035,2026-01-01,software,0.65
U000036,2026-01-01,cloud,0.66
U000037,2026-01-01,music,0.84
U000038,2026-01-01,software,0.72
U000039,2026-01-01,streaming,0.72
U000040,2026-01-01,software,0.68
U000041,2026-01-01,insurance,0.8300000000000001
U000042,2026-01-01,software,0.52
U000043,2026-01-01,cloud,0.62
U000044,2026-01-01,gym,0.68
U000045,2026-01-01,gym,0.68
U000046,2026-01-01,insurance,0.78
U000047,2026-01-01,none,0.6000000000000001
U000048,2026-01-01,cloud,0.62
U000049,2026-01-01,none,0.7000000000000001
U000050,2026-01-01,insurance,0.72
U000051,2026-01-01,mobile,0.78
U000052,2026-01-01,software,0.66
U000053,2026-01-01,insurance,0.68
U000054,2026-01-01,none,0.56
U000055,2026-01-01,software,0.56
U000056,2026-01-01,software,0.72
U000057,2026-01-01,streaming,0.78
U000058,2026-01-01,none,0.58
U000059,2026-01-01,none,0.68
U000060,2026-01-01,cloud,0.46
U000061,2026-01-01,cloud,0.56
U000062,2026-01-01,none,0.76
U000063,2026-01-01,streaming,0.78
U000064,2026-01-01,mobile,0.67
U000065,2026-01-01,mobile,0.62
U000066,2026-01-01,gym,0.76
U000067,2026-01-01,mobile,0.62
U000068,2026-01-01,software,0.5700000000000001
U000069,2026-01-01,software,0.8200000000000001
U000070,2026-01-01,none,0.49
U000071,2026-01-01,cloud,0.72
U000072,2026-01-01,music,0.78
U000073,2026-01-01,software,0.72
U000074,2026-01-01,streaming,0.64
U000075,2026-01-01,software,0.68
U000076,2026-01-01,mobile,0.78
U000077,2026-01-01,software,0.78
U000078,2026-01-01,none,0.62
U000079,2026-01-01,insurance,0.8200000000000001
U000080,2026-01-01,streaming,0.54
U000081,2026-01-01,insurance,0.8200000000000001
U000082,2026-01-01,none,0.62
U000083,2026-01-01,none,0.72
U000084,2026-01-01,software,0.54
U000085,2026-01-01,cloud,0.62
U000086,2026-01-01,cloud,0.55
U000087,2026-01-01,cloud,0.66
U000088,2026-01-01,mobile,0.72
U000089,2026-01-01,insurance,0.49
U000090,2026-01-01,music,0.74
U000091,2026-01-01,mobile,0.61
U000092,2026-01-01,none,0.59
U000093,2026-01-01,cloud,0.55
U000094,2026-01-01,music,0.84
U000095,2026-01-01,none,0.58
