client_id,cutoff_date,target_next_recurring_merchant,confidence
U000000,2026-01-01,software,0.507
U000001,2026-01-01,none,0.5888
U000002,2026-01-01,mobile,0.8835
U000003,2026-01-01,gym,0.6186
U000004,2026-01-01,none,0.5017
U000005,2026-01-01,none,0.8944
U000006,2026-01-01,cloud,0.4623
U000007,2026-01-01,none,0.9805
U000008,2026-01-01,cloud,0.5676
U000009,2026-01-01,cloud,0.4199
U000010,2026-01-01,none,0.8683
U000011,2026-01-01,insurance,0.853
U000012,2026-01-01,music,0.5429
U000013,2026-01-01,cloud,0.4443
U000014,2026-01-01,software,0.5396
U000015,2026-01-01,cloud,0.5555
U000016,2026-01-01,gym,0.8702
U000017,2026-01-01,none,0.651
U000018,2026-01-01,none,0.9811
U000019,2026-01-01,music,0.513
U000020,2026-01-01,none,0.8778
U000021,2026-01-01,none,0.9365
U000022,2026-01-01,music,0.469
U000023,2026-01-01,none,0.9996
U000024,2026-01-01,streaming,0.3179
U000025,2026-01-01,cloud,0.5436
U000026,2026-01-01,insurance,0.605
U000027,2026-01-01,none,0.5884
U000028,2026-01-01,streaming,0.3212
U000029,2026-01-01,music,0.8398
U000030,2026-01-01,none,0.5666
U000031,2026-01-01,mobile,0.8389
U000032,2026-01-01,insurance,0.402
U000033,2026-01-01,insurance,0.5097
U000034,2026-01-01,mobile,0.8283
U000035,2026-01-01,music,0.4563
U000036,2026-01-01,cloud,0.4725
U000037,2026-01-01,music,0.5319
U000038,2026-01-01,software,0.3848
U000039,2026-01-01,streaming,0.9229
U000040,2026-01-01,software,0.4988
U000041,2026-01-01,none,0.9969
U000042,2026-01-01,software,0.4786
U000043,2026-01-01,cloud,0.4782
U000044,2026-01-01,streaming,0.5158
U000045,2026-01-01,gym,0.4936
U000046,2026-01-01,insurance,0.5592
U000047,2026-01-01,insurance,0.7539
U000048,2026-01-01,cloud,0.4495
U000049,2026-01-01,none,0.5817
U000050,2026-01-01,insurance,0.5581
U000051,2026-01-01,mobile,0.4862
U000052,2026-01-01,music,0.5447
U000053,2026-01-01,insurance,0.6044
U000054,2026-01-01,none,0.9995
U000055,2026-01-01,software,0.5828
U000056,2026-01-01,software,0.5128
U000057,2026-01-01,none,0.9981
U000058,2026-01-01,none,0.9958
U000059,2026-01-01,insurance,0.4637
U000060,2026-01-01,mobile,0.3467
U000061,2026-01-01,cloud,0.3384
U000062,2026-01-01,none,0.9964
U000063,2026-01-01,streaming,0.6676
U000064,2026-01-01,insurance,0.4943
U000065,2026-01-01,mobile,0.8954
U000066,2026-01-01,gym,0.4863
U000067,2026-01-01,cloud,0.3551
U000068,2026-01-01,software,0.8664
U000069,2026-01-01,software,0.6068
U000070,2026-01-01,none,0.777
U000071,2026-01-01,cloud,0.8459
U000072,2026-01-01,music,0.8501
U000073,2026-01-01,none,0.8604
U000074,2026-01-01,streaming,0.7581
U000075,2026-01-01,software,0.6651
U000076,2026-01-01,mobile,0.6724
U000077,2026-01-01,software,0.5744
U000078,2026-01-01,none,0.7139
U000079,2026-01-01,insurance,0.6938
U000080,2026-01-01,streaming,0.5273
U000081,2026-01-01,software,0.4239
U000082,2026-01-01,none,0.9997
U000083,2026-01-01,none,0.8402
U000084,2026-01-01,software,0.3836
U000085,2026-01-01,none,0.5646
U000086,2026-01-01,cloud,0.4236
U000087,2026-01-01,cloud,0.671
U000088,2026-01-01,mobile,0.4456
U000089,2026-01-01,software,0.5743
U000090,2026-01-01,music,0.896
U000091,2026-01-01,music,0.4852
U000092,2026-01-01,streaming,0.8878
U000093,2026-01-01,none,0.4109
U000094,2026-01-01,cloud,0.5588
U000095,2026-01-01,software,0.4919
U000096,2026-01-01,cloud,0.8512
U000097,2026-01-01,mobile,0.7991
U000098,2026-01-01,mobile,0.7301
U000099,2026-01-01,none,0.5333
U000100,2026-01-01,cloud,0.3048
U000101,2026-01-01,software,0.518
U000102,2026-01-01,none,0.7773
U000103,2026-01-01,mobile,0.4279
U000104,2026-01-01,insurance,0.7774
U000105,2026-01-01,insurance,0.7385
U000106,2026-01-01,none,0.8626
U000107,2026-01-01,mobile,0.6113
U000108,2026-01-01,none,0.487
U000109,2026-01-01,gym,0.785
U000110,2026-01-01,none,0.9999
U000111,2026-01-01,streaming,0.535
U000112,2026-01-01,streaming,0.4851
U000113,2026-01-01,mobile,0.8503
U000114,2026-01-01,cloud,0.5083
U000115,2026-01-01,gym,0.8855
U000116,2026-01-01,none,0.9998
U000117,2026-01-01,none,0.6383
U000118,2026-01-01,software,0.6493
U000119,2026-01-01,none,0.3263
U000120,2026-01-01,mobile,0.634
U000121,2026-01-01,software,0.3594
U000122,2026-01-01,gym,0.612
U000123,2026-01-01,none,0.9875
U000124,2026-01-01,gym,0.7065
U000125,2026-01-01,mobile,0.4405
U000126,2026-01-01,mobile,0.6578
U000127,2026-01-01,software,0.5465
U000128,2026-01-01,mobile,0.8564
U000129,2026-01-01,music,0.6718
U000130,2026-01-01,gym,0.4162
U000131,2026-01-01,none,0.9947
U000132,2026-01-01,gym,0.5189
U000133,2026-01-01,none,0.807
U000134,2026-01-01,cloud,0.6401
U000135,2026-01-01,gym,0.4903
U000136,2026-01-01,music,0.9009
U000137,2026-01-01,software,0.7628
U000138,2026-01-01,insurance,0.6333
U000139,2026-01-01,streaming,0.5274
U000140,2026-01-01,cloud,0.815
U000141,2026-01-01,gym,0.439
U000142,2026-01-01,none,0.9457
U000143,2026-01-01,streaming,0.7346
U000144,2026-01-01,software,0.4649
U000145,2026-01-01,music,0.4136
U000146,2026-01-01,cloud,0.5454
U000147,2026-01-01,streaming,0.5617
U000148,2026-01-01,mobile,0.487
U000149,2026-01-01,none,0.7518
U000150,2026-01-01,cloud,0.8529
U000151,2026-01-01,insurance,0.448
U000152,2026-01-01,mobile,0.864
U000153,2026-01-01,none,0.849
U000154,2026-01-01,music,0.437
U000155,2026-01-01,none,0.6489
U000156,2026-01-01,insurance,0.3081
U000157,2026-01-01,software,0.5028
U000158,2026-01-01,software,0.9189
U000159,2026-01-01,software,0.5851
U000160,2026-01-01,mobile,0.4816
U000161,2026-01-01,streaming,0.2926
U000162,2026-01-01,streaming,0.5919
U000163,2026-01-01,none,0.9897
U000164,2026-01-01,software,0.5704
U000165,2026-01-01,cloud,0.3629
U000166,2026-01-01,mobile,0.9106
U000167,2026-01-01,gym,0.5571
U000168,2026-01-01,insurance,0.5262
U000169,2026-01-01,none,0.8837
U000170,2026-01-01,streaming,0.5337
U000171,2026-01-01,none,0.5906
U000172,2026-01-01,none,0.9916
U000173,2026-01-01,none,0.5104
U000174,2026-01-01,none,0.9985
U000175,2026-01-01,cloud,0.6496
U000176,2026-01-01,insurance,0.7357
U000177,2026-01-01,none,0.985
U000178,2026-01-01,software,0.4459
U000179,2026-01-01,none,0.6542
U000180,2026-01-01,cloud,0.8982
U000181,2026-01-01,gym,0.5209
U000182,2026-01-01,none,0.9999
U000183,2026-01-01,software,0.4109
U000184,2026-01-01,insurance,0.6341
