client_id,cutoff_date,target_next_recurring_merchant,confidence,label_unsup,label_chatgpt,label_trainonly,conf_unsup,conf_chatgpt,conf_trainonly,n_sources_agree
U000000,2026-01-01,software,0.9937,music,software,software,0.4014,0.66,0.507,2
U000001,2026-01-01,none,0.6112,none,insurance,none,0.7619,0.76,0.5888,2
U000002,2026-01-01,mobile,0.9997,mobile,mobile,mobile,1.0,0.78,0.8835,3
U000003,2026-01-01,gym,0.9996,gym,gym,gym,0.5088,0.55,0.6186,3
U000004,2026-01-01,none,0.6107,none,software,none,0.5336,0.76,0.5017,2
U000005,2026-01-01,none,0.9872,none,none,none,0.4266,0.53,0.8944,3
U000006,2026-01-01,cloud,0.9956,music,cloud,cloud,0.4076,0.58,0.4623,2
U000007,2026-01-01,insurance,0.9365,insurance,insurance,none,0.6684,0.47,0.9805,2
U000008,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.5489,0.8200000000000001,0.5676,3
U000009,2026-01-01,software,0.5625,none,software,cloud,0.384,0.81,0.4199,1
U000010,2026-01-01,music,0.9687,music,music,none,0.3274,0.75,0.8683,2
U000011,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.8998,0.86,0.853,3
U000012,2026-01-01,music,0.9999,music,music,music,0.3939,0.78,0.5429,3
U000013,2026-01-01,cloud,0.9964,none,cloud,cloud,0.4371,0.56,0.4443,2
U000014,2026-01-01,software,0.9973,none,software,software,0.4252,0.72,0.5396,2
U000015,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.3082,0.72,0.5555,3
U000016,2026-01-01,gym,0.9996,gym,gym,gym,0.9908,0.72,0.8702,3
U000017,2026-01-01,none,0.435,mobile,streaming,none,0.3008,0.53,0.651,1
U000018,2026-01-01,insurance,0.9365,insurance,insurance,none,0.5,0.87,0.9811,2
U000019,2026-01-01,music,0.9999,music,music,music,0.3752,0.68,0.513,3
U000020,2026-01-01,none,0.9186,mobile,none,none,0.6007,0.62,0.8778,2
U000021,2026-01-01,none,0.9872,none,none,none,0.3555,0.68,0.9365,3
U000022,2026-01-01,music,0.9971,mobile,music,music,0.3327,0.78,0.469,2
U000023,2026-01-01,none,0.8834,streaming,none,none,0.3728,0.55,0.9996,2
U000024,2026-01-01,gym,0.5863,music,gym,streaming,0.2423,0.48,0.3179,1
U000025,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.278,0.62,0.5436,3
U000026,2026-01-01,insurance,0.9893,cloud,insurance,insurance,0.3454,0.52,0.605,2
U000027,2026-01-01,none,0.9186,mobile,none,none,1.0,0.67,0.5884,2
U000028,2026-01-01,streaming,0.8804,streaming,software,streaming,0.3396,0.62,0.3212,2
U000029,2026-01-01,mobile,0.8518,mobile,mobile,music,0.4018,0.74,0.8398,2
U000030,2026-01-01,none,0.4678,mobile,gym,none,0.33,0.56,0.5666,1
U000031,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.4447,0.78,0.8389,3
U000032,2026-01-01,insurance,0.9977,none,insurance,insurance,0.4398,0.76,0.402,2
U000033,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.5282,0.56,0.5097,3
U000034,2026-01-01,mobile,0.9948,none,mobile,mobile,0.5317,0.68,0.8283,2
U000035,2026-01-01,software,0.6134,none,software,music,0.3511,0.65,0.4563,1
U000036,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.3662,0.66,0.4725,3
U000037,2026-01-01,music,0.9999,music,music,music,0.3858,0.84,0.5319,3
U000038,2026-01-01,software,0.9973,none,software,software,0.4869,0.72,0.3848,2
U000039,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.5648,0.72,0.9229,3
U000040,2026-01-01,software,0.9937,music,software,software,0.4787,0.68,0.4988,2
U000041,2026-01-01,insurance,0.9365,insurance,insurance,none,1.0,0.8300000000000001,0.9969,2
U000042,2026-01-01,software,0.9973,none,software,software,0.3447,0.52,0.4786,2
U000043,2026-01-01,cloud,0.9841,mobile,cloud,cloud,0.253,0.62,0.4782,2
U000044,2026-01-01,streaming,0.9008,streaming,gym,streaming,0.6253,0.68,0.5158,2
U000045,2026-01-01,gym,0.99,none,gym,gym,0.4993,0.68,0.4936,2
U000046,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.4415,0.78,0.5592,3
U000047,2026-01-01,insurance,0.7797,mobile,none,insurance,1.0,0.6000000000000001,0.7539,1
U000048,2026-01-01,cloud,0.9956,music,cloud,cloud,0.324,0.62,0.4495,2
U000049,2026-01-01,none,0.9872,none,none,none,0.4282,0.7000000000000001,0.5817,3
U000050,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.4456,0.72,0.5581,3
U000051,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.4345,0.78,0.4862,3
U000052,2026-01-01,music,0.4681,gym,software,music,0.2814,0.66,0.5447,1
U000053,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.3532,0.68,0.6044,3
U000054,2026-01-01,none,0.9872,none,none,none,0.5916,0.56,0.9995,3
U000055,2026-01-01,software,0.975,cloud,software,software,0.4863,0.56,0.5828,2
U000056,2026-01-01,software,0.9903,mobile,software,software,0.5285,0.72,0.5128,2
U000057,2026-01-01,none,0.666,none,streaming,none,0.3772,0.78,0.9981,2
U000058,2026-01-01,none,0.9872,none,none,none,0.4512,0.58,0.9958,3
U000059,2026-01-01,insurance,0.8372,streaming,none,insurance,0.5835,0.68,0.4637,1
U000060,2026-01-01,cloud,0.8171,music,cloud,mobile,0.2517,0.46,0.3467,1
U000061,2026-01-01,cloud,0.9946,streaming,cloud,cloud,0.3895,0.56,0.3384,2
U000062,2026-01-01,none,0.9872,none,none,none,0.7576,0.76,0.9964,3
U000063,2026-01-01,streaming,0.995,insurance,streaming,streaming,0.3807,0.78,0.6676,2
U000064,2026-01-01,mobile,0.8506,mobile,mobile,insurance,0.5072,0.67,0.4943,2
U000065,2026-01-01,mobile,0.9997,mobile,mobile,mobile,1.0,0.62,0.8954,3
U000066,2026-01-01,gym,0.99,none,gym,gym,0.6072,0.76,0.4863,2
U000067,2026-01-01,cloud,0.7,streaming,mobile,cloud,0.3402,0.62,0.3551,1
U000068,2026-01-01,software,0.9973,none,software,software,0.5951,0.5700000000000001,0.8664,2
U000069,2026-01-01,software,0.9996,software,software,software,0.4387,0.8200000000000001,0.6068,3
U000070,2026-01-01,none,0.9431,software,none,none,0.4658,0.49,0.777,2
U000071,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.6788,0.72,0.8459,3
U000072,2026-01-01,music,0.9999,music,music,music,0.6623,0.78,0.8501,3
U000073,2026-01-01,none,0.6107,none,software,none,0.374,0.72,0.8604,2
U000074,2026-01-01,streaming,0.9998,streaming,streaming,streaming,0.5168,0.64,0.7581,3
U000075,2026-01-01,software,0.9996,software,software,software,0.4602,0.68,0.6651,3
U000076,2026-01-01,mobile,0.9997,mobile,mobile,mobile,0.4905,0.78,0.6724,3
U000077,2026-01-01,software,0.9996,software,software,software,0.3939,0.78,0.5744,3
U000078,2026-01-01,none,0.8834,streaming,none,none,0.75,0.62,0.7139,2
U000079,2026-01-01,insurance,0.9998,insurance,insurance,insurance,0.5695,0.8200000000000001,0.6938,3
U000080,2026-01-01,streaming,0.995,insurance,streaming,streaming,0.4187,0.54,0.5273,2
U000081,2026-01-01,software,0.6287,streaming,insurance,software,0.3929,0.8200000000000001,0.4239,1
U000082,2026-01-01,none,0.9431,software,none,none,0.6186,0.62,0.9997,2
U000083,2026-01-01,none,0.946,gym,none,none,0.5258,0.72,0.8402,2
U000084,2026-01-01,software,0.9973,none,software,software,0.4799,0.54,0.3836,2
U000085,2026-01-01,cloud,0.8893,cloud,cloud,none,0.5,0.62,0.5646,2
U000086,2026-01-01,cloud,0.9964,none,cloud,cloud,0.2708,0.55,0.4236,2
U000087,2026-01-01,cloud,0.9999,cloud,cloud,cloud,0.405,0.66,0.671,3
U000088,2026-01-01,mobile,0.9948,none,mobile,mobile,0.5644,0.72,0.4456,2
U000089,2026-01-01,software,0.7887,none,insurance,software,0.2468,0.49,0.5743,1
U000090,2026-01-01,music,0.9999,music,music,music,0.7787,0.74,0.896,3
U000091,2026-01-01,mobile,0.8518,mobile,mobile,music,0.3704,0.61,0.4852,2
U000092,2026-01-01,streaming,0.9833,streaming,none,streaming,1.0,0.59,0.8878,2
U000093,2026-01-01,none,0.4873,streaming,cloud,none,0.3113,0.55,0.4109,1
U000094,2026-01-01,music,0.9348,music,music,cloud,0.4034,0.84,0.5588,2
U000095,2026-01-01,software,0.795,none,none,software,1.0,0.58,0.4919,1
U000096,2026-01-01,cloud,0.9924,insurance,cloud,cloud,0.5803,0.5700000000000001,0.8512,2
