client_id,cutoff_date,target_next_recurring_merchant
C000001,2026-01-01,streaming
C000005,2026-01-01,mobile
C000007,2026-01-01,cloud
C000009,2026-01-01,streaming
C000012,2026-01-01,software
C000014,2026-01-01,cloud
C000015,2026-01-01,none
C000016,2026-01-01,insurance
C000017,2026-01-01,mobile
C000021,2026-01-01,mobile
C000022,2026-01-01,none
C000024,2026-01-01,gym
C000025,2026-01-01,cloud
C000026,2026-01-01,software
C000027,2026-01-01,music
C000028,2026-01-01,cloud
C000029,2026-01-01,music
C000030,2026-01-01,none
C000033,2026-01-01,none
C000035,2026-01-01,mobile
C000038,2026-01-01,none
C000039,2026-01-01,music
C000040,2026-01-01,cloud
C000041,2026-01-01,insurance
C000043,2026-01-01,none
C000044,2026-01-01,none
C000047,2026-01-01,music
C000053,2026-01-01,gym
C000055,2026-01-01,none
C000060,2026-01-01,insurance
C000062,2026-01-01,none
C000063,2026-01-01,insurance
C000064,2026-01-01,software
C000066,2026-01-01,software
C000069,2026-01-01,none
C000072,2026-01-01,gym
C000073,2026-01-01,none
C000077,2026-01-01,none
C000078,2026-01-01,insurance
C000079,2026-01-01,software
C000080,2026-01-01,none
C000084,2026-01-01,none
C000085,2026-01-01,insurance
C000088,2026-01-01,insurance
C000093,2026-01-01,none
C000094,2026-01-01,cloud
C000095,2026-01-01,software
C000100,2026-01-01,gym
C000101,2026-01-01,none
C000102,2026-01-01,software
C000103,2026-01-01,insurance
C000104,2026-01-01,insurance
C000105,2026-01-01,streaming
C000106,2026-01-01,streaming
C000109,2026-01-01,cloud
C000110,2026-01-01,mobile
C000111,2026-01-01,streaming
C000113,2026-01-01,none
C000115,2026-01-01,none
C000116,2026-01-01,insurance
C000117,2026-01-01,gym
C000119,2026-01-01,streaming
C000120,2026-01-01,gym
C000122,2026-01-01,cloud
C000127,2026-01-01,none
C000128,2026-01-01,mobile
C000129,2026-01-01,software
C000130,2026-01-01,none
C000132,2026-01-01,mobile
C000134,2026-01-01,streaming
C000135,2026-01-01,none
C000136,2026-01-01,none
C000137,2026-01-01,streaming
C000140,2026-01-01,none
C000142,2026-01-01,mobile
C000144,2026-01-01,software
C000148,2026-01-01,streaming
C000149,2026-01-01,streaming
C000150,2026-01-01,software
C000152,2026-01-01,cloud
C000153,2026-01-01,mobile
C000155,2026-01-01,none
C000157,2026-01-01,none
C000159,2026-01-01,insurance
C000160,2026-01-01,cloud
C000162,2026-01-01,none
C000164,2026-01-01,music
C000168,2026-01-01,none
C000169,2026-01-01,none
C000171,2026-01-01,streaming
C000172,2026-01-01,music
C000173,2026-01-01,mobile
C000174,2026-01-01,none
C000175,2026-01-01,insurance
C000177,2026-01-01,mobile
C000179,2026-01-01,music
C000181,2026-01-01,music
C000183,2026-01-01,streaming
C000185,2026-01-01,none
C000187,2026-01-01,insurance
C000189,2026-01-01,software
C000190,2026-01-01,software
C000191,2026-01-01,streaming
C000192,2026-01-01,music
C000196,2026-01-01,cloud
C000197,2026-01-01,music
C000198,2026-01-01,none
C000201,2026-01-01,gym
C000202,2026-01-01,gym
C000203,2026-01-01,gym
C000205,2026-01-01,none
C000206,2026-01-01,music
C000207,2026-01-01,cloud
C000210,2026-01-01,insurance
C000212,2026-01-01,cloud
C000214,2026-01-01,none
C000218,2026-01-01,music
C000219,2026-01-01,gym
C000222,2026-01-01,none
C000223,2026-01-01,cloud
C000226,2026-01-01,insurance
C000228,2026-01-01,insurance
C000230,2026-01-01,insurance
C000233,2026-01-01,music
C000234,2026-01-01,music
C000235,2026-01-01,mobile
C000236,2026-01-01,mobile
C000237,2026-01-01,cloud
C000238,2026-01-01,gym
C000239,2026-01-01,software
C000240,2026-01-01,none
C000242,2026-01-01,mobile
C000245,2026-01-01,none
C000246,2026-01-01,cloud
C000248,2026-01-01,insurance
C000249,2026-01-01,none
C000250,2026-01-01,cloud
C000252,2026-01-01,none
C000254,2026-01-01,streaming
C000257,2026-01-01,cloud
C000259,2026-01-01,music
C000261,2026-01-01,none
C000262,2026-01-01,streaming
C000263,2026-01-01,cloud
C000264,2026-01-01,gym
C000265,2026-01-01,cloud
C000270,2026-01-01,none
C000271,2026-01-01,gym
C000272,2026-01-01,gym
C000274,2026-01-01,cloud
C000275,2026-01-01,cloud
C000276,2026-01-01,mobile
C000281,2026-01-01,insurance
C000283,2026-01-01,streaming
C000284,2026-01-01,software
C000285,2026-01-01,none
C000286,2026-01-01,music
C000290,2026-01-01,mobile
C000292,2026-01-01,none
C000295,2026-01-01,none
C000296,2026-01-01,music
C000297,2026-01-01,none
C000302,2026-01-01,none
C000306,2026-01-01,mobile
C000310,2026-01-01,none
C000311,2026-01-01,none
C000313,2026-01-01,cloud
C000319,2026-01-01,mobile
C000322,2026-01-01,music
C000323,2026-01-01,insurance
C000324,2026-01-01,none
C000326,2026-01-01,none
C000330,2026-01-01,gym
C000332,2026-01-01,none
C000336,2026-01-01,insurance
C000338,2026-01-01,none
C000339,2026-01-01,software
C000342,2026-01-01,software
C000343,2026-01-01,cloud
C000348,2026-01-01,music
C000350,2026-01-01,music
C000351,2026-01-01,software
C000352,2026-01-01,streaming
C000353,2026-01-01,mobile
C000356,2026-01-01,mobile
C000358,2026-01-01,none
C000361,2026-01-01,software
C000363,2026-01-01,software
C000364,2026-01-01,none
C000369,2026-01-01,none
C000372,2026-01-01,streaming
C000375,2026-01-01,software
C000376,2026-01-01,none
C000381,2026-01-01,mobile
C000382,2026-01-01,music
C000387,2026-01-01,none
C000388,2026-01-01,none
C000389,2026-01-01,none
C000390,2026-01-01,streaming
C000392,2026-01-01,streaming
C000394,2026-01-01,none
C000400,2026-01-01,none
C000401,2026-01-01,none
C000403,2026-01-01,insurance
C000406,2026-01-01,streaming
C000407,2026-01-01,streaming
C000408,2026-01-01,none
C000410,2026-01-01,mobile
C000414,2026-01-01,mobile
C000417,2026-01-01,none
C000418,2026-01-01,none
