time,sha,note,valid_rule,valid_logreg,valid_hgb,valid_rank,valid_ens,vcv_rule,vcv_logreg,vcv_hgb,vcv_rank,vcv_ens,c_detect,c_nextdue,c_none_active,c_fams
2026-09-24T19:37:40,2e339be-dirty,0 Salim baseline,0.2422,0.4128,0.4960,0.5179,0.5084,0.2422,0.4756,0.5172,0.5500,0.5376,0.775,0.521,0.867,2.005
2026-09-24T19:59:50,4aa55fa-dirty,[peer session run on step-2 port code; not a Salim baseline] baseline before 8-concept gaps,0.2426,0.3923,0.4315,0.4832,0.4607,0.2426,0.4522,0.4932,0.5424,0.5231,0.690,0.472,0.836,1.752
2026-09-24T20:01:03,4aa55fa-dirty,"2 W1+W2+W3: timmyo pooled detection, tol 0.3/0.03, monthly only (ported from timmyo)",0.2426,0.3923,0.4315,0.4832,0.4607,0.2426,0.4522,0.4932,0.5424,0.5231,0.690,0.472,0.836,1.752
2026-09-24T20:16:17,3a7f5e5-dirty,"3 W4: live = overdue <= 5 days, + short_live_stream, max_live_n_occurrences, min_over_days (ported from timmyo)",0.2538,0.4450,0.4862,0.5122,0.5061,0.2538,0.4784,0.5244,0.5581,0.5290,0.775,0.556,0.867,2.005
2026-09-24T20:19:42,55966a9-dirty,4 W5: live-aware rule (none if no live stream or short 3-4 charge stream; else soonest-due live family) (ported from timmyo); other models unchanged from 3,0.5162,,,,,0.5162,,,,,0.775,0.556,0.867,2.005
2026-09-25T08:54:18,f8492b5-dirty,baseline before unsupervised features (working tree),0.4967,0.4258,0.4823,0.5003,0.4966,0.4967,0.4758,0.5210,0.5445,0.5450,0.692,0.511,0.823,1.727
2026-09-25T08:57:03,f8492b5-dirty,unsupervised: LSA16 + KMeans10 dists fit on unlabeled pretrain,0.4967,0.1972,0.1624,0.1588,0.1657,0.4967,0.4564,0.4949,0.4953,0.5097,0.692,0.511,0.823,1.727
2026-09-25T09:19:59,f8492b5-dirty,unsupervised v2: family-only LSA8 + KMeans10 dists fit on unlabeled pretrain,0.4967,0.3961,0.4844,0.4954,0.4789,0.4967,0.4766,0.5316,0.5459,0.5515,0.692,0.511,0.823,1.727
2026-09-25T09:56:48,f8492b5-dirty,exclude 4 opaque descriptions from stream pool (+unsup v2 features),0.5083,0.4290,0.4980,0.5061,0.5193,0.5083,0.4720,0.5370,0.5642,0.5574,0.699,0.521,0.703,1.539
2026-09-25T09:57:30,f8492b5-dirty,,0.4967,0.3961,0.4844,0.4954,0.4789,0.4967,0.4766,0.5316,0.5459,0.5515,0.692,0.511,0.823,1.727
