max_overdue_days,family_aggregation,trial_gate,gap_cv_penalty_days,weak_keyword_penalty_days,per_label_overdue,train_macro_f1
7.0,closest_live,baseline,2.0,2.0,(),0.49123007861447293
7.0,closest_live,baseline,0.0,2.0,(),0.4911706246084475
7.0,closest_live,baseline,5.0,0.0,(),0.48986574585149956
7.0,closest_live,baseline,0.0,0.0,(),0.4898308210498182
7.0,closest_live,baseline,10.0,5.0,(),0.4887670840527879
7.0,closest_live,baseline,2.0,0.0,(),0.4886931901135785
7.0,closest_live,baseline,5.0,2.0,(),0.48770306786785683
7.0,closest_live,baseline,0.0,5.0,(),0.4875350880330958
7.0,closest_live,baseline,10.0,0.0,(),0.4874617642685723
7.0,closest_live,baseline,2.0,5.0,(),0.4863357693873646
7.0,closest_live,baseline,10.0,2.0,(),0.48624230026394816
7.0,closest_live,baseline,5.0,5.0,(),0.48571126090034916
7.0,closest_live,baseline,15.0,5.0,(),0.48456534157432646
7.0,closest_live,baseline,15.0,2.0,(),0.48443146252136743
7.0,closest_live,baseline,15.0,0.0,(),0.4838741345714953
7.0,closest_live,baseline,0.0,10.0,(),0.4833892138353762
7.0,closest_live,baseline,2.0,10.0,(),0.48155091625793656
7.0,closest_live,baseline,5.0,10.0,(),0.4815243110149617
7.0,closest_live,baseline,10.0,10.0,(),0.48036580072903956
7.0,closest_live,baseline,15.0,10.0,(),0.4798301516178668
7.0,closest_live,baseline,0.0,15.0,(),0.4785953358543895
7.0,closest_live,baseline,5.0,15.0,(),0.4775872389111546
7.0,closest_live,baseline,2.0,15.0,(),0.47620080992013936
7.0,closest_live,baseline,10.0,15.0,(),0.4750984731359341
7.0,closest_live,baseline,15.0,15.0,(),0.4744773738642918
