max_overdue_days,family_aggregation,trial_gate,gap_cv_penalty_days,weak_keyword_penalty_days,per_label_overdue,train_macro_f1
7,min,baseline,0.0,0.0,(),0.49217888287160616
5,min,baseline,0.0,0.0,(),0.49201898243100856
3,min,baseline,0.0,0.0,(),0.48992430765942396
7,closest_live,baseline,0.0,0.0,(),0.4898308210498182
5,closest_live,baseline,0.0,0.0,(),0.48966744507310017
3,closest_live,baseline,0.0,0.0,(),0.487556485787937
5,min,all_le4,0.0,0.0,(),0.48751432009598206
7,min,all_le4,0.0,0.0,(),0.48747730538053974
7,min,chosen_3_4,0.0,0.0,(),0.4872190127363064
10,min,baseline,0.0,0.0,(),0.4871497077501232
5,min,chosen_3_4,0.0,0.0,(),0.4856485868879236
5,closest_live,all_le4,0.0,0.0,(),0.4850300449466697
7,closest_live,all_le4,0.0,0.0,(),0.48500004606171565
7,closest_live,chosen_3_4,0.0,0.0,(),0.4849278699064254
3,min,all_le4,0.0,0.0,(),0.48487323448953074
10,closest_live,baseline,0.0,0.0,(),0.4847959392162037
3,min,chosen_3_4,0.0,0.0,(),0.48432874141296034
5,closest_live,chosen_3_4,0.0,0.0,(),0.4836513215592647
15,min,baseline,0.0,0.0,(),0.48363338195081146
10,min,all_le4,0.0,0.0,(),0.4833321095614385
3,closest_live,all_le4,0.0,0.0,(),0.4823841210691525
3,closest_live,chosen_3_4,0.0,0.0,(),0.4819502758668402
10,min,chosen_3_4,0.0,0.0,(),0.4815069630115096
0,min,baseline,0.0,0.0,(),0.48095491969039394
10,closest_live,all_le4,0.0,0.0,(),0.48084142944273844
15,closest_live,baseline,0.0,0.0,(),0.48068193755838634
15,min,all_le4,0.0,0.0,(),0.480332775182747
15,min,chosen_3_4,0.0,0.0,(),0.4800048975626585
10,closest_live,chosen_3_4,0.0,0.0,(),0.479132410908829
0,closest_live,baseline,0.0,0.0,(),0.47849601007737114
15,closest_live,chosen_3_4,0.0,0.0,(),0.47741089555371163
15,closest_live,all_le4,0.0,0.0,(),0.4772275569825024
5,min,none,0.0,0.0,(),0.4765827964804009
7,min,none,0.0,0.0,(),0.4760454636479725
0,min,all_le4,0.0,0.0,(),0.475708559932168
20,min,baseline,0.0,0.0,(),0.4757075869259577
3,min,none,0.0,0.0,(),0.4755639635276396
5,closest_live,none,0.0,0.0,(),0.47438883782560026
7,closest_live,none,0.0,0.0,(),0.47385912608359293
0,min,chosen_3_4,0.0,0.0,(),0.47382537569044664
3,closest_live,none,0.0,0.0,(),0.4733174471351378
0,closest_live,all_le4,0.0,0.0,(),0.47312730766843847
20,min,all_le4,0.0,0.0,(),0.4725211952601784
20,closest_live,baseline,0.0,0.0,(),0.47223089153628517
20,min,chosen_3_4,0.0,0.0,(),0.47212908545258037
0,closest_live,chosen_3_4,0.0,0.0,(),0.4712531259210918
10,min,none,0.0,0.0,(),0.4693458297287648
20,closest_live,all_le4,0.0,0.0,(),0.4688744305442294
20,closest_live,chosen_3_4,0.0,0.0,(),0.46868092720926935
0,min,none,0.0,0.0,(),0.46770277826830997
10,closest_live,none,0.0,0.0,(),0.46714457737733084
0,closest_live,none,0.0,0.0,(),0.46534476650560164
15,min,none,0.0,0.0,(),0.4642777977236049
15,closest_live,none,0.0,0.0,(),0.46149770733490214
20,min,none,0.0,0.0,(),0.4555252919313716
20,closest_live,none,0.0,0.0,(),0.4522412778420505
-5,min,baseline,0.0,0.0,(),0.44070350707068773
-5,closest_live,baseline,0.0,0.0,(),0.4399928758811252
-5,min,chosen_3_4,0.0,0.0,(),0.4391545211924041
-5,closest_live,chosen_3_4,0.0,0.0,(),0.43790011910118243
-5,min,all_le4,0.0,0.0,(),0.43335757085204185
-5,closest_live,all_le4,0.0,0.0,(),0.4326273838603643
-5,min,none,0.0,0.0,(),0.43090281336030234
-5,closest_live,none,0.0,0.0,(),0.43019934497275214
