method,label,valid_f1
stream_reproduction,cloud,0.5435897435897437
stream_reproduction,gym,0.5267489711934156
stream_reproduction,insurance,0.4752475247524752
stream_reproduction,mobile,0.5238095238095238
stream_reproduction,music,0.4342857142857143
stream_reproduction,software,0.39655172413793105
stream_reproduction,streaming,0.4444444444444444
stream_reproduction,none,0.5306859205776173
corrected_family_aggregation,cloud,0.5463917525773196
corrected_family_aggregation,gym,0.5267489711934156
corrected_family_aggregation,insurance,0.4776119402985075
corrected_family_aggregation,mobile,0.5118483412322274
corrected_family_aggregation,music,0.4327485380116959
corrected_family_aggregation,software,0.4085106382978723
corrected_family_aggregation,streaming,0.4397905759162304
corrected_family_aggregation,none,0.5306859205776173
train_selected_global_gate,cloud,0.5435897435897437
train_selected_global_gate,gym,0.5267489711934156
train_selected_global_gate,insurance,0.47290640394088673
train_selected_global_gate,mobile,0.5238095238095238
train_selected_global_gate,music,0.4228571428571428
train_selected_global_gate,software,0.39655172413793105
train_selected_global_gate,streaming,0.43749999999999994
train_selected_global_gate,none,0.52
train_selected_confidence,cloud,0.5492227979274612
train_selected_confidence,gym,0.5387755102040817
train_selected_confidence,insurance,0.47804878048780486
train_selected_confidence,mobile,0.49765258215962443
train_selected_confidence,music,0.4311377245508982
train_selected_confidence,software,0.4085106382978723
train_selected_confidence,streaming,0.4270833333333333
train_selected_confidence,none,0.52
train_selected_per_label_min,cloud,0.5482233502538071
train_selected_per_label_min,gym,0.5245901639344263
train_selected_per_label_min,insurance,0.47290640394088673
train_selected_per_label_min,mobile,0.5164319248826291
train_selected_per_label_min,music,0.43820224719101125
train_selected_per_label_min,software,0.3926940639269407
train_selected_per_label_min,streaming,0.450261780104712
train_selected_per_label_min,none,0.5333333333333333
train_selected_per_label_corrected,cloud,0.5510204081632654
train_selected_per_label_corrected,gym,0.5365853658536585
train_selected_per_label_corrected,insurance,0.47572815533980584
train_selected_per_label_corrected,mobile,0.4907407407407407
train_selected_per_label_corrected,music,0.4444444444444445
train_selected_per_label_corrected,software,0.41095890410958913
train_selected_per_label_corrected,streaming,0.4397905759162304
train_selected_per_label_corrected,none,0.5333333333333333
