family,threshold,train_macro_f1
cloud,-5,0.4901423038537408
cloud,0,0.48993623262988245
cloud,3,0.4910049527204689
cloud,5,0.4918805694474195
cloud,7,0.49123007861447293
cloud,10,0.4904751581154123
cloud,15,0.4898606400298395
cloud,20,0.48955970942006655
gym,-5,0.4896211947793484
gym,0,0.49082579913000113
gym,3,0.4907936897034615
gym,5,0.4915049738862489
gym,7,0.4918805694474195
gym,10,0.4899024214796712
gym,15,0.48909447045638954
gym,20,0.48847568535647634
insurance,-5,0.4776670474808755
insurance,0,0.4862938430117498
insurance,3,0.49090452520933925
insurance,5,0.49168242179849514
insurance,7,0.4918805694474195
insurance,10,0.4912456671807832
insurance,15,0.49036678015368623
insurance,20,0.48905703006847234
mobile,-5,0.4850688693188633
mobile,0,0.49046836589458875
mobile,3,0.49239400937281785
mobile,5,0.491252620338247
mobile,7,0.4918805694474195
mobile,10,0.49280106135308527
mobile,15,0.49191549196971995
mobile,20,0.49104699254543616
music,-5,0.48149911751345864
music,0,0.49033819809482765
music,3,0.49157056027317175
music,5,0.4921911058259528
music,7,0.49280106135308527
music,10,0.4927314902977731
music,15,0.4927314902977731
music,20,0.491399459154592
software,-5,0.49231389567428574
software,0,0.49641353632261254
software,3,0.4943356325422405
software,5,0.49320947903109763
software,7,0.49280106135308527
software,10,0.49158079745883654
software,15,0.4903773790839319
software,20,0.4881611214993163
streaming,-5,0.48349426452239985
streaming,0,0.493659420807386
streaming,3,0.4952229483076941
streaming,5,0.49698415860802836
streaming,7,0.49641353632261254
streaming,10,0.49515884099214147
streaming,15,0.495164129253021
streaming,20,0.49319337216983916
