family,threshold,train_macro_f1
cloud,-5,0.4904246163765219
cloud,0,0.49025532811269423
cloud,3,0.4919527185764242
cloud,5,0.4928207543949169
cloud,7,0.49217888287160616
cloud,10,0.4914447200327468
cloud,15,0.49083534750233887
cloud,20,0.49053238309291664
gym,-5,0.4893410842329941
gym,0,0.4917519888757223
gym,3,0.4917246717662822
gym,5,0.49243274377009705
gym,7,0.4928207543949169
gym,10,0.4908327915326037
gym,15,0.49001259446039136
gym,20,0.48937995880829865
insurance,-5,0.47839615263503277
insurance,0,0.4872154693389998
insurance,3,0.4918490139702144
insurance,5,0.4926293280768772
insurance,7,0.4928207543949169
insurance,10,0.4922068775294989
insurance,15,0.4919350762797704
insurance,20,0.49062556536734714
mobile,-5,0.4856238501651192
mobile,0,0.49206187557870884
mobile,3,0.49334232774603937
mobile,5,0.4921928075325922
mobile,7,0.4928207543949169
mobile,10,0.49374180234364456
mobile,15,0.4928370800461084
mobile,20,0.49195680678026743
music,-5,0.48202151522163106
music,0,0.491307834477718
music,3,0.49252485232629417
music,5,0.49313953467243377
music,7,0.49374180234364456
music,10,0.4936633154667552
music,15,0.4936633154667552
music,20,0.4923424870721694
software,-5,0.49103202168557236
software,0,0.49626689668196755
software,3,0.49473150318633047
software,5,0.49416413284656685
software,7,0.49374180234364456
software,10,0.4924805964044992
software,15,0.49125911800204547
software,20,0.48954615600683726
streaming,-5,0.48460310458726646
streaming,0,0.49411463961879987
streaming,3,0.4956656365692051
streaming,5,0.49684838359065614
streaming,7,0.49626689668196755
streaming,10,0.4950299340442956
streaming,15,0.4950411823726024
streaming,20,0.49308049145716487
