variant,alpha,mae_days,rmse_days
calendar,100.0,3.772625571664175,6.315462720990986
recent,100.0,3.7738219930561314,6.317066573771678
calendar,10.0,3.778873769852495,6.315198721953344
calendar,1.0,3.7795673878764107,6.315201765032708
calendar,0.1,3.779637855325289,6.31520243743844
recent,10.0,3.7802752932363073,6.316793725870239
recent,1.0,3.780995248348529,6.316797486008362
recent,0.1,3.7810677687300953,6.316798029878887
shrinkage,100.0,3.8198673401232646,6.4043353498352
shrinkage,10.0,3.8217614639696356,6.404336827824496
shrinkage,1.0,3.8219531131906064,6.404337692858907
shrinkage,0.1,3.8219723048586904,6.404337786634169
historical_mean,,4.280091353501311,6.837155793619264
