client_id,cluster,persona
C000001,3,High-velocity spenders
C000005,3,High-velocity spenders
C000007,2,Low-key everyday users
C000009,0,Subscription regulars
C000012,0,Subscription regulars
C000014,0,Subscription regulars
C000015,2,Low-key everyday users
C000016,3,High-velocity spenders
C000017,0,Subscription regulars
C000021,3,High-velocity spenders
C000022,0,Subscription regulars
C000024,3,High-velocity spenders
C000025,3,High-velocity spenders
C000026,3,High-velocity spenders
C000027,3,High-velocity spenders
C000028,3,High-velocity spenders
C000029,3,High-velocity spenders
C000030,1,Transfer & cash movers
C000033,1,Transfer & cash movers
C000035,0,Subscription regulars
C000038,2,Low-key everyday users
C000039,1,Transfer & cash movers
C000040,3,High-velocity spenders
C000041,3,High-velocity spenders
C000043,1,Transfer & cash movers
C000044,1,Transfer & cash movers
C000047,0,Subscription regulars
C000053,1,Transfer & cash movers
C000055,1,Transfer & cash movers
C000060,1,Transfer & cash movers
C000062,3,High-velocity spenders
C000063,0,Subscription regulars
C000064,0,Subscription regulars
C000066,1,Transfer & cash movers
C000069,3,High-velocity spenders
C000072,0,Subscription regulars
C000073,2,Low-key everyday users
C000077,3,High-velocity spenders
C000078,0,Subscription regulars
C000079,3,High-velocity spenders
C000080,1,Transfer & cash movers
C000084,1,Transfer & cash movers
C000085,1,Transfer & cash movers
C000088,0,Subscription regulars
C000093,3,High-velocity spenders
C000094,1,Transfer & cash movers
C000095,3,High-velocity spenders
C000100,3,High-velocity spenders
C000101,1,Transfer & cash movers
C000102,1,Transfer & cash movers
C000103,3,High-velocity spenders
C000104,3,High-velocity spenders
C000105,3,High-velocity spenders
C000106,1,Transfer & cash movers
C000109,2,Low-key everyday users
C000110,3,High-velocity spenders
C000111,0,Subscription regulars
C000113,0,Subscription regulars
C000115,0,Subscription regulars
C000116,3,High-velocity spenders
C000117,2,Low-key everyday users
C000119,2,Low-key everyday users
C000120,2,Low-key everyday users
C000122,0,Subscription regulars
C000127,1,Transfer & cash movers
C000128,3,High-velocity spenders
C000129,0,Subscription regulars
C000130,1,Transfer & cash movers
C000132,3,High-velocity spenders
C000134,1,Transfer & cash movers
C000135,1,Transfer & cash movers
C000136,3,High-velocity spenders
C000137,0,Subscription regulars
C000140,0,Subscription regulars
C000142,0,Subscription regulars
C000144,1,Transfer & cash movers
C000148,0,Subscription regulars
C000149,0,Subscription regulars
C000150,1,Transfer & cash movers
C000152,0,Subscription regulars
C000153,1,Transfer & cash movers
C000155,1,Transfer & cash movers
C000157,2,Low-key everyday users
C000159,1,Transfer & cash movers
C000160,2,Low-key everyday users
C000162,3,High-velocity spenders
C000164,3,High-velocity spenders
C000168,3,High-velocity spenders
C000169,3,High-velocity spenders
C000171,1,Transfer & cash movers
C000172,1,Transfer & cash movers
C000173,1,Transfer & cash movers
C000174,1,Transfer & cash movers
C000175,0,Subscription regulars
C000177,3,High-velocity spenders
C000179,3,High-velocity spenders
C000181,0,Subscription regulars
C000183,3,High-velocity spenders
C000185,0,Subscription regulars
C000187,1,Transfer & cash movers
C000189,2,Low-key everyday users
C000190,1,Transfer & cash movers
C000191,0,Subscription regulars
C000192,3,High-velocity spenders
C000196,0,Subscription regulars
C000197,0,Subscription regulars
