persona,n_train_clients,config,cv_macro_f1_mean,cv_macro_f1_std,delta_vs_global,shrinkage_weight,shrunk_delta_vs_global,folds_beating_global,is_raw_best,selected_after_guardrails,used_global_fallback
High-velocity spenders,604,median_gap|grace=5|short_gate=true,0.46062965067106487,0.02816451605067649,0.0,0.668141592920354,0.0,0,True,True,True
High-velocity spenders,604,median_gap|grace=7|short_gate=true,0.4576690141199406,0.02997230312625767,-0.002960636551124274,0.668141592920354,-0.0019781244213263956,2,False,False,True
High-velocity spenders,604,mean_median_blend|grace=5|short_gate=true,0.45233880192983217,0.043094715870622996,-0.008290848741232704,0.668141592920354,-0.00553946088462893,1,False,False,True
High-velocity spenders,604,trimmed_mean_gap|grace=5|short_gate=true,0.4514737210597426,0.043983128870042944,-0.009155929611322278,0.668141592920354,-0.006117457395175504,1,False,False,True
High-velocity spenders,604,mean_gap|grace=5|short_gate=true,0.450269949032406,0.037690224500515485,-0.010359701638658847,0.668141592920354,-0.006921747555033123,1,False,False,True
High-velocity spenders,604,median_gap|grace=10|short_gate=true,0.45012086611847657,0.03142251022309713,-0.010508784552588302,0.668141592920354,-0.007021356050623158,1,False,False,True
High-velocity spenders,604,mean_median_blend|grace=7|short_gate=true,0.4491154604048913,0.03987644078284511,-0.011514190266173563,0.668141592920354,-0.007693109425629239,1,False,False,True
High-velocity spenders,604,trimmed_mean_gap|grace=7|short_gate=true,0.446678956848782,0.04170341635499217,-0.013950693822282867,0.668141592920354,-0.009321038792764217,1,False,False,True
High-velocity spenders,604,median_gap|grace=3|short_gate=true,0.44631438249320593,0.027138360748989294,-0.014315268177858942,0.668141592920354,-0.009564626083436728,0,False,False,True
High-velocity spenders,604,mean_gap|grace=7|short_gate=true,0.445600699712163,0.03622692657361776,-0.015028950958901888,0.668141592920354,-0.010041467233602589,0,False,False,True
High-velocity spenders,604,mean_median_blend|grace=10|short_gate=true,0.4448909900991982,0.04319534394072189,-0.01573866057186668,0.668141592920354,-0.010515653744919773,1,False,False,True
High-velocity spenders,604,median_gap|grace=5|short_gate=false,0.443525684461514,0.032103032492024786,-0.017103966209550847,0.668141592920354,-0.011427871228505212,0,False,False,True
High-velocity spenders,604,recent3_median_gap|grace=5|short_gate=true,0.44335970662275576,0.02950926107468208,-0.017269944048309116,0.668141592920354,-0.01153876792608264,0,False,False,True
