estimator,grace_days,train_macro_f1
median_gap,5,0.5032857184959572
median_gap,7,0.5027408329179818
median_gap,10,0.5001380737281329
mean_median_blend,5,0.4982421099667963
median_gap,3,0.49667161373457047
mean_median_blend,7,0.49565158875024046
trimmed_mean_gap,5,0.49522060693094266
recent3_median_gap,7,0.4947245905850687
recent3_median_gap,5,0.4944260016937392
mean_median_blend,10,0.4942493518453975
mean_median_blend,3,0.49317616252721497
mean_gap,5,0.4928463466208199
trimmed_mean_gap,7,0.4924035734720518
recent3_median_gap,10,0.4920606126932074
trimmed_mean_gap,10,0.4903804888699048
mean_gap,7,0.49003250894894956
trimmed_mean_gap,3,0.4897574480859473
recent3_median_gap,3,0.48853070761547246
mean_gap,3,0.4884465578098665
mean_gap,10,0.48808441486443954
mean_median_blend,0,0.48026024656129385
median_gap,0,0.47870275220918007
trimmed_mean_gap,0,0.47669689112804153
mean_gap,0,0.47488094262596336
recent3_median_gap,0,0.47375618686659193
calendar_dom,3,0.458471903953457
calendar_dom,0,0.4581745818105053
calendar_dom,5,0.45537630020551356
calendar_dom,7,0.4543489465070415
calendar_dom,10,0.4529824628117523
